PLAYER_Team,PLAYER_GW,PLAYER_Fixture_date,PLAYER_Opponent,FIX_Home?,TEMP_team_goals,TEMP_opp_goals,TEMP_points_gained
Leicester,27,2020-02-22,Man City,1,0,1,0
Leicester,28,2020-02-28,Norwich,0,0,1,0
Leicester,29,2020-03-09,Aston Villa,1,4,0,3
Leicester,30,2020-06-20,Watford,0,,,
Leicester,31,2020-06-23,Brighton,1,,,
Leicester,32,2020-07-01,Everton,0,,,
Leicester,33,2020-07-04,Crystal Palace,1,,,
Leicester,34,2020-07-08,Arsenal,0,,,
Leicester,35,2020-07-11,Bournemouth,0,,,
Leicester,36,2020-07-15,Sheffield Utd,1,,,
Leicester,37,2020-07-18,Spurs,0,,,
Leicester,38,2020-07-26,Man Utd,1,,,
Newcastle,1,2019-08-11,Arsenal,1,0,1,0
Newcastle,2,2019-08-17,Norwich,0,1,3,1
Newcastle,3,2019-08-25,Spurs,0,1,0,3
Newcastle,4,2019-08-31,Watford,1,1,1,1
Newcastle,5,2019-09-14,Liverpool,0,1,3,1
Newcastle,6,2019-09-21,Brighton,1,0,0,1
Newcastle,7,2019-09-29,Leicester,0,0,5,0
Newcastle,8,2019-10-06,Man Utd,1,1,0,3
Newcastle,9,2019-10-19,Chelsea,0,0,1,0
Newcastle,10,2019-10-27,Wolves,1,1,1,1
Newcastle,11,2019-11-02,West Ham,0,3,2,3
Newcastle,12,2019-11-09,Bournemouth,1,2,1,3
Newcastle,13,2019-11-25,Aston Villa,0,0,2,0
Newcastle,14,2019-11-30,Man City,1,2,2,1
Newcastle,15,2019-12-05,Sheffield Utd,0,2,0,3
Newcastle,16,2019-12-08,Southampton,1,2,1,3
Newcastle,17,2019-12-14,Burnley,0,0,1,0
Newcastle,18,2019-12-21,Crystal Palace,1,1,0,3
Newcastle,19,2019-12-26,Man Utd,0,1,4,1
Newcastle,20,2019-12-28,Everton,1,1,2,1
Newcastle,21,2020-01-01,Leicester,1,0,3,0
Newcastle,22,2020-01-11,Wolves,0,1,1,1
Newcastle,23,2020-01-18,Chelsea,1,1,0,3
Newcastle,24,2020-01-21,Everton,0,2,2,1
Newcastle,25,2020-02-01,Norwich,1,0,0,1
Newcastle,26,2020-02-16,Arsenal,0,0,4,0
Newcastle,27,2020-02-22,Crystal Palace,0,0,1,0
Newcastle,28,2020-02-29,Burnley,1,0,0,1
Newcastle,29,2020-03-07,Southampton,0,1,0,3
Newcastle,30,2020-06-21,Sheffield Utd,1,,,
Newcastle,31,2020-06-24,Aston Villa,1,,,
Newcastle,32,2020-07-01,Bournemouth,0,,,
Newcastle,33,2020-07-04,West Ham,1,,,
Newcastle,34,2020-07-08,Man City,0,,,
Newcastle,35,2020-07-11,Watford,0,,,
Newcastle,36,2020-07-15,Spurs,1,,,
Newcastle,37,2020-07-18,Brighton,0,,,
Newcastle,38,2020-07-26,Liverpool,1,,,
Man Utd,1,2019-08-11,Chelsea,1,4,0,3
Man Utd,2,2019-08-19,Wolves,0,1,1,1
Man Utd,3,2019-08-24,Crystal Palace,1,1,2,1
Man Utd,4,2019-08-31,Southampton,0,1,1,1
Man Utd,5,2019-09-14,Leicester,1,1,0,3
Man Utd,6,2019-09-22,West Ham,0,0,2,0
Man Utd,7,2019-09-30,Arsenal,1,1,1,1
Man Utd,8,2019-10-06,Newcastle,0,0,1,0
Man Utd,9,2019-10-20,Liverpool,1,1,1,1
Man Utd,10,2019-10-27,Norwich,0,3,1,3
Man Utd,11,2019-11-02,Bournemouth,0,0,1,0
Man Utd,12,2019-11-10,Brighton,1,3,1,3
Man Utd,13,2019-11-24,Sheffield Utd,0,3,3,1
Man Utd,14,2019-12-01,Aston Villa,1,2,2,1
Man Utd,15,2019-12-04,Spurs,1,2,1,3
Man Utd,16,2019-12-07,Man City,0,2,1,3
Man Utd,17,2019-12-15,Everton,1,1,1,1
Man Utd,18,2019-12-22,Watford,0,0,2,0
Man Utd,19,2019-12-26,Newcastle,1,4,1,3
Man Utd,20,2019-12-28,Burnley,0,2,0,3
Man Utd,21,2020-01-01,Arsenal,0,0,2,0
Man Utd,22,2020-01-11,Norwich,1,4,0,3
Man Utd,23,2020-01-19,Liverpool,0,0,2,0
Man Utd,24,2020-01-22,Burnley,1,0,2,0
Man Utd,25,2020-02-01,Wolves,1,0,0,1
Man Utd,26,2020-02-17,Chelsea,0,2,0,3
Man Utd,27,2020-02-23,Watford,1,3,0,3
Man Utd,28,2020-03-01,Everton,0,1,1,1
Man Utd,29,2020-03-08,Man City,1,2,0,3
Man Utd,30,2020-06-19,Spurs,0,,,
Man Utd,31,2020-06-24,Sheffield Utd,1,,,
Man Utd,32,2020-06-30,Brighton,0,,,
Man Utd,33,2020-07-04,Bournemouth,1,,,
Man Utd,34,2020-07-08,Aston Villa,0,,,
Man Utd,35,2020-07-11,Southampton,1,,,
Man Utd,36,2020-07-15,Crystal Palace,0,,,
Man Utd,37,2020-07-18,West Ham,1,,,
Man Utd,38,2020-07-26,Leicester,0,,,
Arsenal,1,2019-08-11,Newcastle,0,1,0,3
Arsenal,2,2019-08-17,Burnley,1,2,1,3
Arsenal,3,2019-08-24,Liverpool,0,1,3,1
Arsenal,4,2019-09-01,Spurs,1,2,2,1
Arsenal,5,2019-09-15,Watford,0,2,2,1
Arsenal,6,2019-09-22,Aston Villa,1,3,2,3
Arsenal,7,2019-09-30,Man Utd,0,1,1,1
Arsenal,8,2019-10-06,Bournemouth,1,1,0,3
Arsenal,9,2019-10-21,Sheffield Utd,0,0,1,0
Arsenal,10,2019-10-27,Crystal Palace,1,2,2,1
Arsenal,11,2019-11-02,Wolves,1,1,1,1
Arsenal,12,2019-11-09,Leicester,0,0,2,0
Arsenal,13,2019-11-23,Southampton,1,2,2,1
Arsenal,14,2019-12-01,Norwich,0,2,2,1
Arsenal,15,2019-12-05,Brighton,1,1,2,1
Arsenal,16,2019-12-09,West Ham,0,3,1,3
Arsenal,17,2019-12-15,Man City,1,0,3,0
Arsenal,18,2019-12-21,Everton,0,0,0,1
Arsenal,19,2019-12-26,Bournemouth,0,1,1,1
Arsenal,20,2019-12-29,Chelsea,1,1,2,1
Arsenal,21,2020-01-01,Man Utd,1,2,0,3
Arsenal,22,2020-01-11,Crystal Palace,0,1,1,1
Arsenal,23,2020-01-18,Sheffield Utd,1,1,1,1
Arsenal,24,2020-01-21,Chelsea,0,2,2,1
Arsenal,25,2020-02-02,Burnley,0,0,0,1
Arsenal,26,2020-02-16,Newcastle,1,4,0,3
Arsenal,27,2020-02-23,Everton,1,3,2,3
Arsenal,28,2020-03-07,West Ham,1,1,0,3
Arsenal,29,2020-06-17,Man City,0,,,
Arsenal,30,2020-06-20,Brighton,0,,,
Arsenal,31,2020-06-25,Southampton,0,,,
Arsenal,32,2020-07-01,Norwich,1,,,
Arsenal,33,2020-07-04,Wolves,0,,,
Arsenal,34,2020-07-08,Leicester,1,,,
Arsenal,35,2020-07-11,Spurs,0,,,
Arsenal,36,2020-07-15,Liverpool,1,,,
Arsenal,37,2020-07-18,Aston Villa,0,,,
Arsenal,38,2020-07-26,Watford,1,,,
Aston Villa,1,2019-08-10,Spurs,0,1,3,1
Aston Villa,2,2019-08-17,Bournemouth,1,1,2,1
Aston Villa,3,2019-08-23,Everton,1,2,0,3
Aston Villa,4,2019-08-31,Crystal Palace,0,0,1,0
Aston Villa,5,2019-09-16,West Ham,1,0,0,1
Aston Villa,6,2019-09-22,Arsenal,0,2,3,2
Aston Villa,7,2019-09-28,Burnley,1,2,2,1
Aston Villa,8,2019-10-05,Norwich,0,5,1,3
Aston Villa,9,2019-10-19,Brighton,1,2,1,3
Aston Villa,10,2019-10-26,Man City,0,0,3,0
Aston Villa,11,2019-11-02,Liverpool,1,1,2,1
Aston Villa,12,2019-11-10,Wolves,0,1,2,1
Aston Villa,13,2019-11-25,Newcastle,1,2,0,3
Aston Villa,14,2019-12-01,Man Utd,0,2,2,1
Aston Villa,15,2019-12-04,Chelsea,0,1,2,1
Aston Villa,16,2019-12-08,Leicester,1,1,4,1
Aston Villa,17,2019-12-14,Sheffield Utd,0,0,2,0
Aston Villa,18,2019-12-21,Southampton,1,1,3,1
Aston Villa,19,2019-12-26,Norwich,1,1,0,3
Aston Villa,20,2019-12-28,Watford,0,0,3,0
Aston Villa,21,2020-01-01,Burnley,0,2,1,3
Aston Villa,22,2020-01-12,Man City,1,1,6,1
Aston Villa,23,2020-01-18,Brighton,0,1,1,1
Aston Villa,24,2020-01-21,Watford,1,2,1,3
Aston Villa,25,2020-02-01,Bournemouth,0,1,2,1
Aston Villa,26,2020-02-16,Spurs,1,2,3,2
Aston Villa,27,2020-02-22,Southampton,0,0,2,0
Aston Villa,28,2020-03-09,Leicester,0,0,4,0
Aston Villa,29,2020-06-17,Sheffield Utd,1,,,
Aston Villa,30,2020-06-21,Chelsea,1,,,
Aston Villa,31,2020-06-24,Newcastle,0,,,
Aston Villa,32,2020-06-27,Wolves,1,,,
Aston Villa,33,2020-07-04,Liverpool,0,,,
Aston Villa,34,2020-07-08,Man Utd,1,,,
Aston Villa,35,2020-07-11,Crystal Palace,1,,,
Aston Villa,36,2020-07-15,Everton,0,,,
Aston Villa,37,2020-07-18,Arsenal,1,,,
Aston Villa,38,2020-07-26,West Ham,0,,,
Brighton,1,2019-08-10,Watford,0,3,0,3
Brighton,2,2019-08-17,West Ham,1,1,1,1
Brighton,3,2019-08-24,Southampton,1,0,2,0
Brighton,4,2019-08-31,Man City,0,0,4,0
Brighton,5,2019-09-14,Burnley,1,1,1,1
Brighton,6,2019-09-21,Newcastle,0,0,0,1
Brighton,7,2019-09-28,Chelsea,0,0,2,0
Brighton,8,2019-10-05,Spurs,1,3,0,3
Brighton,9,2019-10-19,Aston Villa,0,1,2,1
Brighton,10,2019-10-26,Everton,1,3,2,3
Brighton,11,2019-11-02,Norwich,1,2,0,3
Brighton,12,2019-11-10,Man Utd,0,1,3,1
Brighton,13,2019-11-23,Leicester,1,0,2,0
Brighton,14,2019-11-30,Liverpool,0,1,2,1
Brighton,15,2019-12-05,Arsenal,0,2,1,3
Brighton,16,2019-12-08,Wolves,1,2,2,1
Brighton,17,2019-12-16,Crystal Palace,0,1,1,1
Brighton,18,2019-12-21,Sheffield Utd,1,0,1,0
Brighton,19,2019-12-26,Spurs,0,1,2,1
Brighton,20,2019-12-28,Bournemouth,1,2,0,3
Brighton,21,2020-01-01,Chelsea,1,1,1,1
Brighton,22,2020-01-11,Everton,0,0,1,0
Brighton,23,2020-01-18,Aston Villa,1,1,1,1
Brighton,24,2020-01-21,Bournemouth,0,1,3,1
Brighton,25,2020-02-01,West Ham,0,3,3,1
Brighton,26,2020-02-08,Watford,1,1,1,1
Brighton,27,2020-02-22,Sheffield Utd,0,1,1,1
Brighton,28,2020-02-29,Crystal Palace,1,0,1,0
Brighton,29,2020-03-07,Wolves,0,0,0,1
Brighton,30,2020-06-20,Arsenal,1,,,
Brighton,31,2020-06-23,Leicester,0,,,
Brighton,32,2020-06-30,Man Utd,1,,,
Brighton,33,2020-07-04,Norwich,0,,,
Brighton,34,2020-07-08,Liverpool,1,,,
Brighton,35,2020-07-11,Man City,1,,,
Brighton,36,2020-07-15,Southampton,0,,,
Brighton,37,2020-07-18,Newcastle,1,,,
Brighton,38,2020-07-26,Burnley,0,,,
Everton,1,2019-08-10,Crystal Palace,0,0,0,1
Everton,2,2019-08-17,Watford,1,1,0,3
Everton,3,2019-08-23,Aston Villa,0,0,2,0
Everton,4,2019-09-01,Wolves,1,3,2,3
Everton,5,2019-09-15,Bournemouth,0,1,3,1
Everton,6,2019-09-21,Sheffield Utd,1,0,2,0
Everton,7,2019-09-28,Man City,1,1,3,1
Everton,8,2019-10-05,Burnley,0,0,1,0
Everton,9,2019-10-19,West Ham,1,2,0,3
Everton,10,2019-10-26,Brighton,0,2,3,2
Everton,11,2019-11-03,Spurs,1,1,1,1
Everton,12,2019-11-09,Southampton,0,2,1,3
Everton,13,2019-11-23,Norwich,1,0,2,0
Everton,14,2019-12-01,Leicester,0,1,2,1
Everton,15,2019-12-04,Liverpool,0,2,5,2
Everton,16,2019-12-07,Chelsea,1,3,1,3
Everton,17,2019-12-15,Man Utd,0,1,1,1
Everton,18,2019-12-21,Arsenal,1,0,0,1
Everton,19,2019-12-26,Burnley,1,1,0,3
Everton,20,2019-12-28,Newcastle,0,2,1,3
Everton,21,2020-01-01,Man City,0,1,2,1
Everton,22,2020-01-11,Brighton,1,1,0,3
Everton,23,2020-01-18,West Ham,0,1,1,1
Everton,24,2020-01-21,Newcastle,1,2,2,1
Everton,25,2020-02-01,Watford,0,3,2,3
Everton,26,2020-02-08,Crystal Palace,1,3,1,3
Everton,27,2020-02-23,Arsenal,0,2,3,2
Everton,28,2020-03-01,Man Utd,1,1,1,1
Everton,29,2020-03-08,Chelsea,0,0,4,0
